|content                  |COUNT(content)|
|惊回千里梦，已三更。起来独自绕阶行。       |2             |
|车遥遥兮马洋洋，追思君兮不可忘。         |2             |
|故国三千里，深宫二十年。             |2             |
|云尽月如练，水凉风似秋。             |2             |
|愁云淡淡雨潇潇。暮暮复朝朝。           |2             |
|年年负却花期！过春时，只合安排愁绪送春归。    |2             |
|独怜幽草涧边生，上有黄鹂深树鸣。         |2             |
|唯有相思似春色，江南江北送君归。         |2             |
|西窗下，风摇翠竹，疑是故人来。          |2             |
|楼头残梦五更钟，花底离情三月雨。         |2             |
|请君试问东流水，别意与之谁短长。         |2             |
|古人今人若流水，共看明月皆如此。         |2             |
|绿树村边合，青山郭外斜。             |2             |
|渭北春天树，江东日暮云。             |2             |
|可怜九月初三夜，露似真珠月似弓。         |2             |
|落叶聚还散，寒鸦栖复惊。             |2             |
|竹影和诗瘦，梅花入梦香。             |2             |
|可惜一溪风月，莫教踏碎琼瑶。           |3             |
|三军可夺帅也，匹夫不可夺志也。          |2             |
|一寸丹心图报国，两行清泪为思亲。         |2             |
|狂风落尽深红色，绿叶成阴子满枝。         |2             |
|欲为圣明除弊事，肯将衰朽惜残年。         |3             |
|春思乱，芳心碎。                 |2             |
|泉眼无声惜细流，树阴照水爱晴柔。         |2             |
|烟霏霏。雪霏霏。雪向梅花枝上堆。         |2             |
|一霎荷塘过雨，明朝便是秋声。           |2             |
|何夜无月？何处无竹柏？但少闲人如吾两人者耳。   |2             |
|北风卷地白草折，胡天八月即飞雪。         |2             |
|北方有佳人，绝世而独立。             |2             |
|姑苏城外一茅屋，万树梅花月满天。         |2             |
|枕上十年事，江南二老忧，都到心头。        |2             |
|微微风簇浪，散作满河星。             |2             |
|休说鲈鱼堪脍，尽西风，季鹰归未？         |2             |
|君安游兮西入秦，愿为影兮随君身。         |2             |
|谁知万里客，怀古正踌蹰。             |2             |
|风雨梨花寒食过，几家坟上子孙来？         |2             |
|人间梦隔西风，算天上、年华一瞬。         |2             |
|人似秋鸿来有信，事如春梦了无痕。         |2             |
|南北山头多墓田，清明祭扫各纷然。         |2             |
|相顾无言，惟有泪千行。              |3             |
|寄语东阳沽酒市，拼一醉，而今乐事他年泪。     |2             |
|当路谁相假，知音世所稀。             |2             |
|楚天千里清秋，水随天去秋无际。          |2             |
|峰峦如聚，波涛如怒，山河表里潼关路。       |2             |
|怀君属秋夜，散步咏凉天。             |2             |
|律回岁晚冰霜少，春到人间草木知。         |2             |
|忆对中秋丹桂丛。花在杯中。月在杯中。       |2             |
|遍身罗绮者，不是养蚕人。             |2             |
|笙歌散尽游人去，始觉春空。            |2             |
|泠泠七弦上，静听松风寒。             |2             |
|梅雪争春未肯降，骚人搁笔费评章。         |2             |
|平芜尽处是春山，行人更在春山外。         |2             |
|浮天水送无穷树，带雨云埋一半山。         |2             |
|重见金英人未见。相思一夜天涯远。         |2             |
|闲坐悲君亦自悲，百年多是几多时。         |2             |
|搴帷拜母河梁去，白发愁看泪眼枯。         |3             |
|一上高城万里愁，蒹葭杨柳似汀洲。         |2             |
|一杯酒，问何似，身后名？             |2             |
|当年得意如芳草。日日春风好。           |2             |
|弱冠弄柔翰，卓荦观群书。             |3             |
|日长篱落无人过，惟有蜻蜓蛱蝶飞。         |2             |
|人老去西风白发，蝶愁来明日黄花。         |2             |
|翠蛾轻敛意沉吟，沾襟，无人知此心。        |2             |
|恰似春风相欺得，夜来吹折数枝花。         |2             |
|三春白雪归青冢，万里黄河绕黑山。         |2             |
|长江悲已滞，万里念将归。             |2             |
|杨柳东风树，青青夹御河。             |2             |
|溪深古雪在，石断寒泉流。             |2             |
|镜中已觉星星误。人不负春春自负。         |2             |
|爱子心无尽，归家喜及辰。             |2             |
|儿童相见不相识，笑问客从何处来。         |2             |
|春雪满空来，触处似花开。             |2             |
|风回云断雨初晴，返照湖边暖复明。         |2             |
|山桃红花满上头，蜀江春水拍山流。         |2             |
|无聊成独卧，弹指韶光过。             |3             |
|夕阳西下，塞雁南飞，渭水东流。          |2             |
|老人七十仍沽酒，千壶百瓮花门口。         |2             |
|曲终人醉。多似浔阳江上泪。            |3             |
|清秋幕府井梧寒，独宿江城蜡炬残。         |2             |
|所志在功名，离别何足叹。             |2             |
|扶桑已在渺茫中，家在扶桑东更东。         |2             |
|想得玉人情，也合思量我。             |2             |
|繁华事散逐香尘，流水无情草自春。         |2             |
|山无陵，江水为竭。                |2             |
|碧海年年，试问取、冰轮为谁圆缺？         |2             |
|旧游无处不堪寻。无寻处，惟有少年心。       |2             |
|水榭风微玉枕凉。牙床角簟藕花香。         |2             |
|最是秋风管闲事，红他枫叶白人头。         |2             |
|低头羞见人，双手结裙带。             |2             |
|水满有时观下鹭，草深无处不鸣蛙。         |2             |
|一春略无十日晴，处处浮云将雨行。         |2             |
|西城杨柳弄春柔。动离忧。泪难收。         |2             |
|落日熔金，暮云合璧，人在何处。          |2             |
|举头红日近，回首白云低。             |2             |
|夜深知雪重，时闻折竹声。             |2             |
|雪里已知春信至。寒梅点缀琼枝腻。         |2             |
|飞絮飞花何处是，层冰积雪摧残，疏疏一树五更寒。  |2             |
|荷笠带斜阳，青山独归远。             |2             |
|八月湖水平，涵虚混太清。             |2             |
|山光忽西落，池月渐东上。             |2             |
|红楼隔雨相望冷，珠箔飘灯独自归。         |2             |
|烈士暮年，壮心不已。               |2             |
|念兰堂红烛，心长焰短，向人垂泪。         |2             |
|天意怜幽草，人间重晚晴。             |2             |
|庄生晓梦迷蝴蝶，望帝春心托杜鹃。         |2             |
|茶鼎熟，酒卮扬，醉来诗兴狂。           |2             |
|台榭空蒙烟柳暗，白鸟衔鱼欲舞。          |2             |
|传闻一战百神愁，两岸强兵过未休。         |2             |
|秦中花鸟已应阑，塞外风沙犹自寒。         |2             |
|晓雾将歇，猿鸟乱鸣；               |2             |
|淮水悠悠。万顷烟波万顷愁。            |2             |
|万里悲秋常作客，百年多病独登台。         |2             |
|水调数声持酒听。午醉醒来愁未醒。         |2             |
|山中一夜雨，树杪百重泉。             |2             |
|吴酒一杯春竹叶，吴娃双舞醉芙蓉。         |2             |
|借问此何时？春风语流莺。             |2             |
|不鸣则已，一鸣惊人。               |2             |
|乍见翻疑梦，相悲各问年。             |2             |
|落日无情最有情，遍催万树暮蝉鸣。         |2             |
|和羞走，倚门回首，却把青梅嗅。          |2             |
|十步杀一人，千里不留行。             |2             |
|云移雉尾开宫扇，日绕龙鳞识圣颜。         |2             |
|棠梨叶落胭脂色，荞麦花开白雪香。         |3             |
|渡头杨柳青青。枝枝叶叶离情。           |2             |
|乌鹊倦栖，鱼龙惊起，星斗挂垂杨。         |2             |
|一日不读书，胸臆无佳想。             |2             |
|休问梁园旧宾客，茂陵秋雨病相如。         |2             |
|子胥既弃吴江上，屈原终投湘水滨。         |2             |
|两水夹明镜，双桥落彩虹。             |2             |
|上有青冥之长天，下有渌水之波澜。         |2             |
|入春才七日，离家已二年。             |2             |
|曾伴浮云归晚翠，犹陪落日泛秋声。         |2             |
|玉勒雕鞍游冶处，楼高不见章台路。         |3             |
|空自觉、围羞带减，影怯灯孤。           |2             |
|伤心秦汉，生民涂炭，读书人一声长叹。       |2             |
|谁谓含愁独不见，更教明月照流黄。         |2             |
|碧艾香蒲处处忙。谁家儿共女，庆端阳。       |2             |
|春去花还在，人来鸟不惊。             |2             |
|驿路侵斜月，溪桥度晓霜。             |2             |
|簌簌衣巾落枣花，村南村北响缫车，牛衣古柳卖黄瓜。 |3             |
|怨别自惊千里外，论交却忆十年时。         |2             |
|听风听雨过清明。愁草瘗花铭。           |2             |
|别日南鸿才北去，今朝北雁又南飞。         |2             |
|漫惹炉烟双袖紫，空将酒晕一衫青。         |3             |
|感之欲叹息，对酒还自倾。             |2             |
|对酒当歌，强乐还无味。              |2             |
|见梨花初带夜月，海棠半含朝雨。          |2             |
|黄四娘家花满蹊，千朵万朵压枝低。         |2             |
|寄语天涯客，轻寒底用愁。             |2             |
|如今风雨西楼夜，不听清歌也泪垂。         |2             |
|幽兰旋老，杜若还生，水乡尚寄旅。         |2             |
|胜地不常，盛筵难再；兰亭已矣，梓泽丘墟。     |2             |
|桃花春水渌，水上鸳鸯浴。             |2             |
|乡书何处达？归雁洛阳边。             |2             |
|思君若汶水，浩荡寄南征。             |2             |
|徘徊将何见？忧思独伤心。             |2             |
|血染红笺，泪题锦句。西湖岂忆相思苦。       |2             |
|月色入高楼，相思两处愁。             |3             |
|海阔山遥，未知何处是潇湘。            |3             |
|造化钟神秀，阴阳割昏晓。             |2             |
|举头望云林，愧听慧鸟语。             |2             |
|穿天透地不辞劳，到底方知出处高。         |2             |
|春风桃李花开日，秋雨梧桐叶落时。         |2             |
|曾逐东风拂舞筵，乐游春苑断肠天。         |2             |
|一夕轻雷落万丝，霁光浮瓦碧参差。         |2             |
|鹅鸭不知春去尽，争随流水趁桃花。         |2             |
|父老得书知我在，小轩临水为君开。         |2             |
|见面怜清瘦，呼儿问苦辛。             |2             |
|小儿呼叫走长街，云有痴呆召人买。         |2             |
|重重叠叠上瑶台，几度呼童扫不开。         |2             |
|忆共锦衾无半缝，郎似桐花，妾似桐花凤。      |2             |
|梧桐叶上，点点露珠零。              |2             |
|繁枝容易纷纷落，嫩叶商量细细开。         |2             |
|床前明月光，疑是地上霜。             |2             |
|日月忽其不淹兮，春与秋其代序。          |2             |
|朱雀桥边野草花，乌衣巷口夕阳斜。         |2             |
|记得绿罗裙，处处怜芳草。             |2             |
|宁我负人，毋人负我。               |2             |
|洞房昨夜停红烛，待晓堂前拜舅姑。         |2             |
|上邪，我欲与君相知，长命无绝衰。         |2             |
|骤雨过，珍珠乱撒，打遍新荷。           |2             |
|雨后双禽来占竹，秋深一蝶下寻花。         |2             |
|画船撑入花深处，香泛金卮。            |2             |
|窗间梅熟落蒂，墙下笋成出林。           |2             |
|芙蓉如面柳如眉，对此如何不泪垂。         |2             |
|靖安宅里当窗柳，望驿台前扑地花。         |2             |
|苍苍竹林寺，杳杳钟声晚。             |2             |
|早知恁么。悔当初、不把雕鞍锁。          |2             |
|误落尘网中，一去三十年。             |2             |
|春风举国裁宫锦，半作障泥半作帆。         |2             |
|柳梢听得黄鹂语，此是春来第一声。         |2             |
|梅子青，梅子黄，菜肥麦熟养蚕忙。         |2             |
|青天蜀道难，红叶吴江冷。             |2             |
|闺中风暖，陌上草薰。               |2             |
|碧水惊秋，黄云凝暮，败叶零乱空阶。        |2             |
|晴浦晚风寒，青山玉骨瘦。             |2             |
|画栋朝飞南浦云，珠帘暮卷西山雨。         |3             |
|枕前泪共阶前雨，隔个窗儿滴到明。         |2             |
|断无蜂蝶慕幽香，红衣脱尽芳心苦。         |2             |
|惜分长怕君先去，直待醉时休。           |2             |
|今夜故人来不来，教人立尽梧桐影。         |2             |
|劝我早还家，绿窗人似花。             |2             |
|支离东北风尘际，漂泊西南天地间。         |2             |
|云霞出海曙，梅柳渡江春。             |2             |
|其人虽已没，千载有馀情。             |2             |
|满腹诗书漫古今，频年流落易伤心。         |2             |
|忙日苦多闲日少，新愁常续旧愁生。         |2             |
|男儿少为客，不辨是他乡。             |2             |
|有谁知我此时情，枕前泪共阶前雨，隔个窗儿滴到明。 |2             |
|琴瑟在御，莫不静好。               |2             |
|晚春盘马踏青苔，曾傍绿阴深驻。          |2             |
|携扙来追柳外凉，画桥南畔倚胡床。         |2             |
|清明又近也，却天涯为客。             |3             |
|乃知兵者是凶器，圣人不得已而用之。        |2             |
|绿桑高下映平川，赛罢田神笑语喧。         |2             |
|过桥分野色，移石动云根。             |2             |
|不知马骨伤寒水，惟见龙城起暮云。         |2             |
|万里不惜死，一朝得成功。             |2             |
|迢递嵩高下，归来且闭关。             |2             |
|亭上秋风，记去年袅袅，曾到吾庐。         |2             |
|芳洲拾翠暮忘归，秀野踏青来不定。         |2             |
|轻阴池馆水平桥，一番弄雨花梢。          |2             |
|殊方日落玄猿哭，旧国霜前白雁来。         |2             |
|乌丝阑纸娇红篆，历历春星。            |2             |
|鸟飞千白点，日没半红轮。             |2             |
|浅把涓涓酒，深凭送此生。             |2             |
|呵笔难临帖，敲床且煮茶。             |2             |
|到家应是，童稚牵衣，笑我华颠。          |2             |
|雨歇梧桐泪乍收，遣怀翻自忆从头。         |3             |
|今日山城对垂泪，伤心不独为悲秋。         |2             |
|不枉东风吹客泪。相思难表，梦魂无据，惟有归来是。 |2             |
|独敲初夜磬，闲倚一枝藤。             |2             |
|龙蟠虎踞金陵郡，古来六代豪华盛。         |2             |
|别来几春未还家，玉窗五见樱桃花。         |2             |
|故人何不返，春华复应晚。             |2             |
|从今后，梦魂千里，夜夜岳阳楼。          |2             |
|羁鸟恋旧林，池鱼思故渊。             |2             |
|胡马依北风，越鸟巢南枝。             |2             |
|相逢不尽平生事，春思入琵琶。           |2             |
|槲叶落山路，枳花明驿墙。             |3             |
|红树青山日欲斜，长郊草色绿无涯。         |2             |
|归鸿声断残云碧。背窗雪落炉烟直。         |2             |
|日月照之何不及此？惟有北风号怒天上来。      |2             |
|东风动百物，草木尽欲言。             |2             |
|金风细细。叶叶梧桐坠。              |2             |
|最爱芦花经雨后，一蓬烟火饭鱼船。         |2             |
|晓迎秋露一枝新，不占园中最上春。         |2             |
|春云吹散湘帘雨，絮黏蝴蝶飞还住。         |2             |
|草秀故春色，梅艳昔年妆。             |3             |
|若到江南赶上春，千万和春住。           |2             |
|十日春寒不出门，不知江柳已摇村。         |2             |
|天涯芳草迷归路，病叶还禁一夜霜。         |2             |
|飞絮濛濛。垂柳阑干尽日风。            |2             |
|水溢芙蓉沼，花飞桃李蹊。             |2             |
|非鬼亦非仙，一曲桃花水。             |2             |
|日射纱窗风撼扉，香罗拭手春事违。         |2             |
|骝马新跨白玉鞍，战罢沙场月色寒。         |2             |
|寒月悲笳，万里西风瀚海沙。            |2             |
|雨过横塘水满堤，乱山高下路东西。         |2             |
|余拏一小舟，拥毳衣炉火，独往湖心亭看雪。     |2             |
|只恐夜深花睡去，故烧高烛照红妆。         |2             |
|常羡人间琢玉郎，天应乞与点酥娘。         |2             |
|经事还谙事，阅人如阅川。             |2             |
|花非花，雾非雾。                 |2             |
|我本不弃世，世人自弃我。             |2             |
|朝回日日典春衣，每日江头尽醉归。         |2             |
|空对着，山中高士晶莹雪；             |3             |
|透内阁香风阵阵，掩重门暮雨纷纷。         |2             |
|岸雨过城头，黄鹂上戍楼。             |2             |
|暮雨相呼失，寒塘欲下迟。             |3             |
|记得别伊时，桃花柳万丝。             |2             |
|吴兴才人怨春风，桃花满陌千里红。         |2             |
|御柳如丝映九重，凤凰窗映绣芙蓉。         |2             |
|魂来枫叶青，魂返关塞黑。             |3             |
|柳花深巷午鸡声，桑叶尖新绿未成。         |2             |
|落木萧萧，琉璃叶下琼葩吐。            |2             |
|枝枝相纠结，叶叶竞飘扬。             |2             |
|爱向竹栏骑竹马，懒于金地聚金沙。         |2             |
|怪见溪童出门望，雀声先我到山家。         |2             |
|忆昔西池池上饮，年年多少欢娱。          |2             |
|满地残红宫锦污，昨夜南园风雨。          |2             |
|芳原绿野恣行事，春入遥山碧四围。         |2             |
|游女带花偎伴笑，争窈窕，竞折团荷遮晚照。     |2             |
|秋容浅淡映重门，七节攒成雪满盆。         |2             |
|秋色到空闺，夜扫梧桐叶。             |2             |
|岁云暮矣多北风，潇湘洞庭白雪中。         |2             |
|典尽客衣三尺雪，炼精诗句一头霜。         |2             |
|乱云低薄暮，急雪舞回风。             |2             |
|北风吹雪四更初，嘉瑞天教及岁除。         |2             |
|移舟水溅差差绿，倚槛风摆柄柄香。         |2             |
|北极朝廷终不改，西山寇盗莫相侵。         |2             |
|躞蹀御沟上，沟水东西流。             |2             |
|恨入空帷鸾影独，泪凝双脸渚莲光，薄情年少悔思量。 |2             |
|江南几日又天涯，谁与寄相思？           |3             |
|那堪更被明月，隔墙送过秋千影。          |2             |
|一日不思量，也攒眉千度。             |2             |
|云物不殊乡国异，教儿且覆掌中杯。         |2             |
|玉楼深锁薄情种。清夜悠悠谁共。          |2             |
|孤花片叶，断送清秋节。              |2             |
|飘零疏酒盏，离别宽衣带。             |2             |
|飒飒东风细雨来，芙蓉塘外有轻雷。         |2             |
|咸言上国繁华，岂谓帝城羁旅。           |2             |
|十年驱驰海色寒，孤臣于此望宸銮。         |2             |
|玉梅消瘦，恨东皇命薄。              |2             |
|之子归穷泉，重壤永幽隔。             |2             |
|欲笺心事，独语斜阑。               |2             |
|独睡起来情悄悄，寄愁何处好。           |2             |
|零落江南不自由。两绸缪。料得吟鸾夜夜愁。     |2             |
|忍泪不能歌，试托哀弦语。             |2             |
|偷弹清泪寄烟波，见江头故人，为言憔悴如许。    |2             |
|霜殒芦花泪湿衣，白头无复倚柴扉。         |3             |
|好去不须频下泪，老僧相伴有烟霞。         |2             |
|暝色入高楼，有人楼上愁。             |2             |
|伤情处，高城望断，灯火已黄昏。          |2             |
|困倚危楼。过尽飞鸿字字愁。            |2             |
|望极春愁，黯黯生天际。              |2             |
|相顾无相识，长歌怀采薇。             |2             |
|世间珍果更无加，玉雪肌肤罩绛纱。         |2             |
|锦里开芳宴，兰缸艳早年。             |2             |
|酹酒苍茫，倚歌平远，亭上玉虹腰冷。        |2             |
|箫鼓喧，人影参差，满路飘香麝。          |2             |
|恐是仙家好别离，故教迢递作佳期。         |2             |
|冉冉年时暮，迢迢天路征。             |2             |
|芳草年年惹恨幽。想前事悠悠。           |2             |
|能令暂开霁，过是吾无求。             |2             |
|曲终过尽松陵路，回首烟波十四桥。         |2             |
|怅寥廓，问苍茫大地，谁主沉浮？          |2             |
|讯予不顾，颠倒思予。               |2             |
|百川东到海，何时复西归？             |2             |
|天南地北双飞客，老翅几回寒暑。          |2             |
|湖上春既早，田家日不闲。             |2             |
|寄书长不达，况乃未休兵。             |2             |
|将军金甲夜不脱，半夜军行戈相拨，风头如刀面如割。 |2             |
|想子胥今夜见嫦娥，沉冤雪。            |2             |
|一道鹊桥横渺渺，千声玉佩过玲玲。         |2             |
|玉漏银壶且莫催，铁关金锁彻明开。         |2             |
|甚时跃马归来，认得迎门轻笑。           |2             |
|塞上秋风鼓角，城头落日旌旗。少年鞍马适相宜。   |2             |
|门前行乐客，白马嘶春色。             |2             |
|古岩泉滴滴，幽谷鸟关关。             |2             |
|禁里疏钟官舍晚，省中啼鸟吏人稀。         |2             |
|送行无酒亦无钱，劝尔一杯菩萨泉。         |2             |
|鹔鹴换美酒，舞衣罢雕龙。             |2             |
|报答春光知有处，应须美酒送生涯。         |2             |
|主人有酒欢今夕，请奏鸣琴广陵客。         |2             |
|玉皇开碧落，银界失黄昏。             |3             |
|醉中浑不记，归路月黄昏。             |2             |
|黄昏鼓角似边州，三十年前上此楼。         |2             |
|近来何处有吾愁，何处还知吾乐。          |2             |
|薄晚西风吹雨到。明朝又是伤流潦。         |2             |
|霸业成空，遗恨无穷。               |2             |
|江山留胜迹，我辈复登临。             |2             |
|慨当初，倚飞何重，后来何酷。           |2             |
|春风知别苦，不遣柳条青。             |3             |
|孤云将野鹤，岂向人间住。             |2             |
|嗟万事难忘，惟是轻别。              |2             |
|望望不见君，连山起烟雾。             |2             |
|南去北来徒自老，故人稀。             |2             |
|纵明月相思千里隔。梦咫尺。勤书尺。        |2             |
|终日望君君不至，举头闻鹊喜。           |2             |
|漫向寒炉醉玉瓶，唤君同赏小窗明。         |2             |
|鸟无声兮山寂寂，夜正长兮风淅淅。         |2             |
|野云万里无城郭，雨雪纷纷连大漠。         |2             |
|不知庭霰今朝落，疑是林花昨夜开。         |2             |
|黄河捧土尚可塞，北风雨雪恨难裁。         |2             |
|黯与山僧别，低头礼白云。             |2             |
|大风起兮云飞扬。威加海内兮归故乡。        |2             |
|风萧萧而异响，云漫漫而奇色。           |2             |
|北山白云里，隐者自怡悦。             |3             |
|红蓼渡头秋正雨，印沙鸥迹自成行，整鬟飘袖野风香。 |2             |
|榈庭多落叶，慨然知已秋。             |2             |
|柳丝长，春雨细，花外漏声迢递。          |2             |
|昨夜江边春水生，艨艟巨舰一毛轻。         |2             |
|春未老，风细柳斜斜。               |2             |
|露湿晴花春殿香，月明歌吹在昭阳。         |2             |
|日长睡起无情思，闲看儿童捉柳花。         |2             |
|春草细还生，春雏养渐成。             |2             |
|玉颜憔悴三年，谁复商量管弦。           |2             |
|今年海角天涯。萧萧两鬓生华。           |2             |
|雌雄空中鸣，声尽呼不归。             |2             |
|岁暮锄犁傍空室，呼儿登山收橡实。         |2             |
|华表月明归夜鹤，叹当时、花竹今如此。       |2             |
|龟游莲叶上，鸟宿芦花里。             |2             |
|未成林，难望凤来栖，聊医俗。           |2             |
|更被夕阳江岸上，断肠烟柳一丝丝。         |2             |
|泛菊杯深，吹梅角远，同在京城。          |2             |
|枣花至小能成实，桑叶虽柔解吐丝。         |2             |
|笑时犹带岭梅香。试问岭南应不好。         |2             |
|露清枕簟藕花香，恨悠扬。             |2             |
|日暖桑麻光似泼，风来蒿艾气如薰。         |3             |
|今我来思，雨雪载途。               |2             |
|但去莫复问，白云无尽时。             |2             |
|仙人抚我顶，结发受长生。             |2             |
|花近高楼伤客心，万方多难此登临。         |3             |
|料得年年肠断处，明月夜，短松冈。         |2             |
|把酒祝东风，且共从容。              |2             |
|青青河畔草，绵绵思远道。             |2             |
|枯桑知天风，海水知天寒。             |2             |
|云日相晖映，空水共澄鲜。             |2             |
|如何四纪为天子，不及卢家有莫愁。         |2             |
|三日入厨下，洗手作羹汤。             |2             |
|见贤思齐焉，见不贤而内自省也。          |2             |
|夜热依然午热同，开门小立月明中。         |2             |
|此中有真意，欲辨已忘言。             |2             |
|使人有乍交之欢，不若使人无久处之厌。       |2             |
|但愿苍生俱饱暖，不辞辛苦出山林。         |2             |
|低徊愧人子，不敢叹风尘。             |2             |
|煮豆燃豆萁，豆在釜中泣。             |2             |
|雪沫乳花浮午盏，蓼茸蒿笋试春盘。         |2             |
|叹隙中驹，石中火，梦中身。            |2             |
